,page_ptr_id,body,description,summary,type,transcript,pub_date,created_on,author,category_id,content_lang_id,image_id,institution,pin_rank,is_pinned,Category
0,10,"[{""type"": ""animated"", ""value"": {""url"": ""https://modules.sam-app.uk/change-the-focus/index.html""}, ""id"": ""f003d0b8-5f3e-4d3b-8303-55f38e41de6e""}]","<p><b>A mental exercise for developing focusing skill and helping to reduce the impact of anxiety.</b></p><ul><li>Focus on your breath as it enters and leaves your body.</li><li>Now find and focus on a sound nearby.</li><li>One by one, shift your attention focus to other sounds nearby.</li><li>One by one, shift your attention focus to sounds further away.</li><li>Return your attention focus to your breathing.</li></ul><p></p><p><b>Homework</b></p><ul><li>Practice twice daily until you can change your focus easily at any time.</li><li>Try combining with the <b>Calm Breathing</b> exercise.</li></ul><p></p><p>Try this <a href=""https://www.youtube.com/watch?v=OgEt3HVXOHQ""><b>Attention Training</b></a> video for focusing practice.</p>",Shift your attention away from anxious thoughts and feelings,selfHelpTool,,2020-03-03,2020-03-20,UWE,1,,7,,1,False,Mental Exercise
1,7,"[{""type"": ""animated"", ""value"": {""url"": ""https://modules.sam-app.uk/only_a_boat/index.html""}, ""id"": ""75671783-43ed-41c1-b3c1-28f5eea8284e""}]","<p></p><p><b>A mental exercise to practice letting go of unwanted thoughts.</b></p><p></p><p>Find a quiet place, close your eyes and:</p><ul><li>Picture your thoughts as boats sailing down a river.</li><li>Picture yourself sitting on the riverbank, watching the boats go by.</li><li>Stay where you are and let your thoughts drift away.</li></ul><p></p><p><b>Homework</b></p><ul><li>Practice twice daily for two weeks and then use as required.</li></ul>",Watch your thoughts float away,selfHelpTool,,2020-03-03,2020-03-20,UWE,1,,4,,1,False,Mental Exercise
2,4,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p></p><p><a href=\""https://www.anxietyuk.org.uk/\""><b>Anxiety UK</b></a></p><p><a href=\""https://www.beatingtheblues.co.uk/\""><b>Beating the Blues</b></a></p><p><a href=\""https://llttf.com/home/living-life-to-the-full-series/\""><b>Living life to the full</b></a></p><p><a href=\""https://www.mind.org.uk/information-support/\""><b>MIND</b></a></p><p><a href=\""https://www.nhs.uk/conditions/stress-anxiety-depression/\""><b>NHS Mental Health and Wellbeing</b></a></p>""}, ""id"": ""f2aefb22-71dd-43d4-a919-f5395421f735""}]",<p><b>Use these links to obtain further self-help information and resources from established mental health organisations.</b></p>,Online resources to support your work with SAM,text,,2020-03-03,2020-12-31,UWE,1,,1,,1,False,Links
3,5,"[{""type"": ""animated"", ""value"": {""url"": ""https://modules.sam-app.uk/only_a_thought/index.html""}, ""id"": ""7dfd8ee2-c112-4a82-a8b6-a8f5c9b70071""}]",<p><b>A fun way of blocking those unwanted thoughts.</b></p><p>Play the animation then do it yourself:</p><ul><li>Focus on a thought passing through your mind.</li><li>Use your inner voice to say ‘Stop’ to that thought.</li></ul><p>Back it up by stamping your foot or by snapping a rubber band on your wrist.</p>,One way of dealing with intrusive thoughts,selfHelpTool,,2020-03-03,2020-05-05,UWE,1,,2,,1,False,Animation
4,6,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><ul><li>Find a quiet place where you won\u2019t be disturbed.</li><li>Sit or lie down and make yourself comfortable.</li><li>Allow your breathing to get into a steady rhythm, and then close your eyes.</li><li>Pay attention to your breath as it enters and leaves your body.</li><li>Allow your thoughts and sensations to come and go.</li><li>Stay focused on your breathing.</li></ul><p></p><p><b>Homework</b></p><ul><li>Practice twice daily for two weeks and then use as required.</li></ul>""}, ""id"": ""7ce2523b-08d7-4c15-8cb1-17768d919f36""}]",<p><b>A standard mental exercise for clearing the mind.</b></p>,A simple meditation,text,,2020-03-03,2020-03-03,UWE,1,,3,,1,False,Mental Exercise
5,8,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><ul><li><a href=\""https://www.youtube.com/watch?v=Hgv8moVWcno\""><b>Cottage garden in summer</b></a><b><br/></b></li><li><a href=\""https://www.calmsound.com/country-garden\""><b>Country garden sounds</b></a><b><br/></b></li><li><a href=\""https://www.geckoandfly.com/8044/download-free-thunder-birds-ocean-wave-nature-sound-effects-mp3/\""><b>Nature sounds</b></a></li></ul>""}, ""id"": ""3562a19a-0d5c-46e4-b69f-64f018cd645c""}]",<p><b>A selection of peaceful sounds from the natural world which you can use and add to as you wish.</b></p>,Use with any self-help option,text,,2020-03-03,2020-03-03,UWE,1,,5,,1,False,Audio Exercise
6,11,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><ul><li>Get in the habit of scanning your body for areas of muscle tension.</li><li>Check that you are not sitting or standing in a position that causes tension.</li><li>When you notice an area of tension, use the tense-and-relax technique - <b><i>See Muscle relaxation 1</i></b><b>.</b></li><li>Notice if some areas tense up more easily and need more attention.</li></ul><p></p><p>Practice scanning while you listen to <a href=\""https://www.youtube.com/watch?v=sLeEfEW1_Ks\""><b>Mandelbrot Voyage</b></a></p>""}, ""id"": ""6ba6d4bb-2c78-457c-8b5f-871d77a05a44""}]",<p><b>An exercise for checking bodily tension that you can use anywhere.</b></p>,Identify your areas of tension,text,,2020-03-03,2020-05-05,UWE,1,,8,,1,False,Mental Exercise
7,12,"[{""type"": ""media_file"", ""value"": 1, ""id"": ""f7038084-5b97-4c26-840d-1a3302dec6e2""}]","<p><b>A standard exercise for teaching your body to recognise and release tension.<br/></b></p><ul><li>Sit or lie comfortably without crossing your limbs.</li><li>Start with your toes and move up your body, focusing on each muscle in turn.</li><li>Gently tense the muscle and hold that tension for 5 seconds.</li><li>Then relax it for 10 seconds.</li><li>Move to the next muscle.</li></ul><p></p><p><b>Homework</b></p><ul><li>Practice twice daily</li><li>Use it in any situation where you’re feeling tense</li></ul><p></p><p>If it feels painful, stop and wait until the feeling clears; you may be tensing too hard or have a minor injury.</p>",Train your muscles to recognise being relaxed,audio,,2020-03-03,2020-03-04,UWE,1,,9,,1,False,Mental Exercise
8,9,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><ul><li>Every day at a set time, put aside 30 minutes to write about your worries.</li><li>Set the <a href=\""https://www.youtube.com/watch?v=vle8A0IK_Hw\""><b>30 minute timer</b></a> for you to finish on time.</li><li>Write down everything that is worrying you and how it affects you.</li><li>Have a good worry and then leave it all on paper till the same time tomorrow.</li></ul><p></p><p><b>Homework</b></p><ul><li>Practice daily for at least a couple of weeks and continue as required.</li></ul>""}, ""id"": ""7724c4b1-abcb-4920-9bf3-1dccfa862ac5""}]",<p><b>A writing exercise which can help to reduce the persistence of anxious thoughts in daily life.</b></p>,Regular writing about worries helps to contain them,text,,2020-03-03,2020-05-05,UWE,1,,6,,1,False,Written Exercise
9,15,"[{""type"": ""text"", ""value"": {""text"": ""<p>Learn to ground yourself in your body, in the present time and place. This can help to shift your attention away from feelings of anxiety and tension. For example:</p><ul><li>Touch the physical objects around you and feel their solidity. Do a bit of tidying up if you feel like it.<br/></li><li>Walk with firm steps around your room or garden. Pop to the shop for something.<br/></li><li>Have a chat with someone, about anything.<br/></li></ul><p>For more <b>grounding techniques</b>, <a href=\""https://www.healthline.com/health/grounding-techniques\"">try these</a></p><p></p><p>Try these video instructions for the <a href=\""https://www.altumhealth.co.uk/grounding-technique/\""><b>5-4-3-2-1grounding technique</b></a></p>""}, ""id"": ""c0a6dbb0-5f3a-48c9-853c-fdc32408fb30""}]",<p><b>Some physical actions which can help to moderate the experience of anxiety.</b></p>,Reduce feelings of detachment and unreality,text,,2020-03-03,2020-03-03,UWE,1,,12,,1,False,Physical Exercise
