,Page Number,Mean Duration,Total Time,Clicks
0,4,0 days 00:02:32.361266294,0 days 22:43:38,537
1,5,0 days 00:00:34.200000,0 days 00:02:51,5
2,6,0 days 00:00:10.393939393,0 days 00:11:26,66
3,7,0 days 00:03:25.682191780,0 days 20:51:14,365
4,8,0 days 00:01:33.980769230,0 days 01:21:27,52
5,9,0 days 00:01:32.197255574,0 days 14:55:51,583
6,10,0 days 00:04:46.820668693,1 days 02:12:44,329
7,11,0 days 00:00:39.776209677,0 days 05:28:49,496
8,12,0 days 00:00:15.208333333,0 days 00:24:20,96
9,13,0 days 00:00:27.156862745,0 days 00:23:05,51
10,14,0 days 00:00:34.068791946,0 days 05:38:25,596
11,15,0 days 00:01:44.500000,0 days 02:33:16,88
12,16,0 days 00:01:39.629441624,1 days 08:42:42,1182
13,17,0 days 00:01:13.201320132,0 days 06:09:40,303
14,18,0 days 00:04:07.136604774,2 days 03:45:41,754
15,19,0 days 00:00:36.909090909,0 days 00:06:46,11
16,20,0 days 00:02:22.176271186,0 days 11:39:02,295
17,21,0 days 00:10:44.073529411,1 days 00:19:54,136
18,22,0 days 00:00:21.375000,0 days 00:05:42,16
19,23,0 days 00:00:23.592592592,0 days 00:10:37,27
20,24,0 days 00:00:33.640000,0 days 02:06:09,225
21,25,0 days 00:00:09.882352941,0 days 00:05:36,34
22,26,0 days 00:00:51.176470588,0 days 00:14:30,17
23,27,0 days 00:00:23,0 days 00:09:12,24
24,28,0 days 00:00:11.470588235,0 days 00:03:15,17
25,29,0 days 00:00:49,0 days 00:18:47,23
26,30,0 days 00:00:15.428251121,0 days 01:54:41,446
27,31,0 days 00:00:21,0 days 00:11:33,33
28,32,0 days 00:00:17,0 days 00:09:55,35
29,33,0 days 00:02:24.917525773,0 days 11:42:51,291
30,34,0 days 00:00:27.166666666,0 days 00:02:43,6
31,35,0 days 00:00:12.142857142,0 days 00:01:25,7
32,36,0 days 00:06:53.230769230,0 days 01:29:32,13
33,37,0 days 00:00:17.250000,0 days 00:03:27,12
34,38,0 days 00:00:44.421052631,0 days 00:14:04,19
35,39,0 days 00:00:35.866666666,0 days 00:08:58,15
36,40,0 days 00:04:48.152671755,1 days 07:27:24,393
37,41,0 days 00:00:25,0 days 00:07:30,18
38,42,0 days 00:01:46.117647058,0 days 00:30:04,17
39,43,0 days 00:01:04.254098360,0 days 04:21:18,244
40,44,0 days 00:00:24.866666666,0 days 00:06:13,15
41,45,0 days 00:00:23.875000,0 days 00:03:11,8
42,46,0 days 00:00:22.666666666,0 days 00:02:16,6
43,47,0 days 00:02:52.800000,0 days 00:14:24,5
44,48,0 days 00:01:19.555555555,0 days 00:11:56,9
45,49,0 days 00:00:25.750000,0 days 00:03:26,8
46,50,0 days 00:00:25.888888888,0 days 00:03:53,9
47,51,0 days 00:00:35,0 days 00:06:25,11
48,52,0 days 00:00:13.875000,0 days 00:01:51,8
49,53,0 days 00:00:24,0 days 00:04:24,11
50,54,0 days 00:00:19.285714285,0 days 00:02:15,7
51,55,0 days 00:00:16.375000,0 days 00:02:11,8
52,56,0 days 00:00:07.857142857,0 days 00:01:50,14
53,57,0 days 00:00:15.428571428,0 days 01:19:12,308
54,58,0 days 00:00:21.545454545,0 days 00:07:54,22
55,59,0 days 00:01:00.294117647,0 days 09:57:55,595
56,60,0 days 00:00:24.928571428,0 days 00:17:27,42
57,61,0 days 00:00:15.517241379,0 days 00:30:00,116
58,78,0 days 00:00:08,0 days 00:00:08,1
59,79,0 days 00:00:15,0 days 00:00:15,1
60,80,0 days 00:00:52,0 days 00:00:52,1
61,81,0 days 00:00:21,0 days 00:00:21,1
62,91,0 days 00:00:03.200000,0 days 00:00:16,5
63,93,0 days 00:00:26,0 days 00:00:52,2
64,94,0 days 00:00:03,0 days 00:00:03,1
65,95,0 days 00:00:02.500000,0 days 00:00:05,2
66,96,0 days 00:00:03.333333333,0 days 00:00:10,3
67,97,0 days 00:00:04.666666666,0 days 00:00:14,3
68,98,0 days 00:00:05,0 days 00:00:10,2
69,99,0 days 00:00:05,0 days 00:00:10,2
70,100,0 days 00:00:02,0 days 00:00:04,2
71,101,0 days 00:00:11.666666666,0 days 00:00:35,3
72,102,0 days 00:00:05.250000,0 days 00:00:21,4
73,103,0 days 00:00:03.400000,0 days 00:00:17,5
74,104,0 days 00:00:03,0 days 00:00:12,4
75,105,0 days 00:00:14.500000,0 days 00:00:58,4
76,106,0 days 00:00:10.700000,0 days 00:01:47,10
77,107,0 days 00:00:04.222222222,0 days 00:00:38,9
78,108,0 days 00:00:02.916666666,0 days 00:00:35,12
79,109,0 days 00:00:05.714285714,0 days 00:02:00,21
80,117,0 days 00:03:33.480376766,1 days 13:46:27,637
